run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:16:11Z,20260423T021611Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,10177176,0,0.000000,0.000000,56539.866667,0.000000,5653.986667,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
1,2026-04-23T02:16:11Z,20260423T021611Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,11238071,0,0.000000,0.000000,62433.727778,0.000000,6243.372778,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
1,2026-04-23T02:16:11Z,20260423T021611Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,13353074,0,0.000000,0.000000,74183.744444,0.000000,7418.374444,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
2,2026-04-23T02:16:18Z,20260423T021618Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,10177176,0,0.000000,0.000000,56539.866667,0.000000,5653.986667,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
2,2026-04-23T02:16:18Z,20260423T021618Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,11238071,0,0.000000,0.000000,62433.727778,0.000000,6243.372778,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
2,2026-04-23T02:16:18Z,20260423T021618Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,13353074,0,0.000000,0.000000,74183.744444,0.000000,7418.374444,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
3,2026-04-23T02:16:24Z,20260423T021624Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,10177176,0,0.000000,0.000000,56539.866667,0.000000,5653.986667,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
3,2026-04-23T02:16:24Z,20260423T021624Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,11238071,0,0.000000,0.000000,62433.727778,0.000000,6243.372778,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
3,2026-04-23T02:16:24Z,20260423T021624Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,13353074,0,0.000000,0.000000,74183.744444,0.000000,7418.374444,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
4,2026-04-23T02:16:31Z,20260423T021631Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,10177176,0,0.000000,0.000000,56539.866667,0.000000,5653.986667,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
4,2026-04-23T02:16:31Z,20260423T021631Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,11238071,0,0.000000,0.000000,62433.727778,0.000000,6243.372778,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
4,2026-04-23T02:16:31Z,20260423T021631Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,13353074,0,0.000000,0.000000,74183.744444,0.000000,7418.374444,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
5,2026-04-23T02:16:38Z,20260423T021638Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,10177176,0,0.000000,0.000000,56539.866667,0.000000,5653.986667,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
5,2026-04-23T02:16:38Z,20260423T021638Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,11238071,0,0.000000,0.000000,62433.727778,0.000000,6243.372778,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
5,2026-04-23T02:16:38Z,20260423T021638Z_ml_kem_512_stm32_armv7e_m,ml_kem_512,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,0,0,1632,0,32,10,13353074,0,0.000000,0.000000,74183.744444,0.000000,7418.374444,0.000000,27712,22640,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
